airline_origin,min_taxi,max_taxi,avg_taxi
AS-SNA,0.0,1441.0,18.344912
B6-AUS,0.0,367.0,22.79973
B6-BNA,0.0,519.0,25.062458
B6-BUR,0.0,264.0,24.925463
B6-CLT,0.0,215.0,31.4683
B6-CMH,0.0,166.0,21.902784
B6-DEN,0.0,225.0,22.457586
B6-FLL,0.0,272.0,25.016594
B6-HPN,0.0,213.0,23.335484
B6-IAD,0.0,260.0,25.085058
B6-JAX,0.0,219.0,24.084572
B6-JFK,0.0,438.0,33.852245
B6-LAS,0.0,250.0,25.864973
B6-LGA,0.0,207.0,29.171106
B6-MSY,0.0,230.0,20.65133
B6-ORD,0.0,249.0,29.939356
B6-PBI,0.0,286.0,21.47655
B6-PDX,0.0,91.0,21.392832
B6-PIT,0.0,216.0,25.891685
B6-PWM,0.0,231.0,23.81322
B6-RIC,0.0,322.0,21.987011
B6-ROC,0.0,177.0,21.162323
B6-RSW,0.0,560.0,21.645716
B6-SEA,0.0,211.0,23.352863
B6-SFO,0.0,161.0,26.131174
B6-SJC,0.0,119.0,20.222017
B6-SLC,0.0,113.0,22.52357
B6-SRQ,0.0,138.0,20.897367
B6-TPA,0.0,255.0,21.46374
B6-TUS,0.0,84.0,18.919659
CO-ATL,0.0,313.0,30.869118
CO-AUS,0.0,376.0,24.793293
CO-BTR,0.0,177.0,23.85426
CO-BUF,0.0,193.0,21.202934
CO-BWI,0.0,231.0,22.22741
CO-CHS,0.0,118.0,20.482279
CO-COS,0.0,98.0,23.853054
CO-CRP,0.0,114.0,17.650883
CO-CVG,0.0,72.0,19.4
CO-DAB,0.0,189.0,27.446444
CO-DCA,0.0,239.0,26.13645
CO-DEN,0.0,203.0,25.265028
CO-DTW,0.0,254.0,27.821613
CO-EWR,0.0,391.0,35.348804
CO-GSO,0.0,150.0,21.667322
CO-HOU,0.0,194.0,18.441654
CO-IAD,0.0,221.0,27.846893
CO-IAH,0.0,391.0,28.426039
CO-IND,0.0,236.0,25.624506
CO-JAC,0.0,140.0,26.534391
CO-JFK,0.0,288.0,37.70461
CO-LAS,0.0,179.0,27.74554
CO-LFT,0.0,114.0,21.571135
CO-LIT,10.0,36.0,20.75
CO-MCI,0.0,153.0,21.64993
CO-MCO,0.0,240.0,24.8506
CO-MDW,0.0,223.0,29.082932
CO-MIA,0.0,263.0,26.35214
CO-MKE,0.0,96.0,19.795977
CO-MSP,0.0,226.0,28.797422
CO-MTJ,0.0,117.0,23.830875
CO-MYR,0.0,185.0,23.85119
CO-OAK,0.0,130.0,22.936083
CO-ONT,0.0,139.0,20.546812
CO-ORD,0.0,297.0,31.426857
CO-ORF,0.0,129.0,20.82824
CO-PDX,0.0,151.0,22.458761
CO-PHL,0.0,260.0,29.273338
CO-PNS,0.0,79.0,16.79719
CO-PSE,0.0,56.0,23.553692
CO-PSP,10.0,67.0,18.731428
CO-PWM,10.0,92.0,25.295082
CO-RDU,0.0,245.0,23.860249
CO-RNO,0.0,101.0,21.781456
CO-RSW,0.0,272.0,22.790218
CO-SAV,0.0,143.0,28.319067
CO-SRQ,0.0,190.0,22.728575
CO-STL,0.0,208.0,27.090559
CO-STT,0.0,127.0,26.047413
CO-TPA,0.0,269.0,23.596546
CO-TUS,0.0,178.0,19.921715
DH-ABE,0.0,205.0,17.194445
DH-ALB,0.0,192.0,21.742422
DH-ATW,0.0,307.0,16.261143
DH-AVP,0.0,195.0,24.737263
DH-AZO,0.0,128.0,14.8840065
DH-BGM,0.0,122.0,13.916161
DH-BGR,0.0,80.0,14.333964
DH-BHM,0.0,155.0,26.570278
DH-BMI,0.0,134.0,23.887407
DH-BNA,0.0,184.0,19.884163
DH-BOS,0.0,570.0,22.145992
DH-BTV,0.0,259.0,20.26965
DH-CAE,0.0,152.0,17.975855
DH-CAK,0.0,144.0,27.497751
DH-CHO,0.0,179.0,11.572547
DH-CHS,0.0,169.0,20.027645
DH-CID,0.0,140.0,18.761496
DH-CLE,0.0,303.0,19.762009
DH-CMH,0.0,162.0,16.748333
DH-CMI,0.0,120.0,15.717349
DH-DAY,0.0,177.0,17.058416
DH-DCA,0.0,72.0,22.885454
DH-ERI,0.0,182.0,17.297016
DH-EVV,0.0,71.0,14.467775
